Name,State,FR Ld,RF Ld,IR Ld,MAR Ld,MDR Ld,R/W,MOV,MA 1,MA 0,MB 1,MB 0,MC 1,MC 0,MD,ME,OP 4,OP 3,OP 2,OP 1,OP0 ,DT 1,DT 0
,364,,1,,,,1,1,0,0,,,1,0,1,,0,0,0,1,0,,
,365,,,,,1,1,1,,,,,,,,0,,,,,,0,1
,366,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSH R - POS,367,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,368,,1,,,,1,1,0,0,,,1,0,1,,0,0,0,1,0,,
,369,,,,,1,1,1,,,,,,,,0,,,,,,0,1
,370,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
STRD Imm - OFF,371,,,,1,,,,0,0,0,1,,,1,,0,0,0,1,0,,
,372,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,1
,373,,,,,,0,1,,,,,,,,,,,,,,,
,374,,,,,,0,1,,,,,,,,,,,,,,,
STRD R - OFF,375,,,,1,,,,0,0,0,0,,,1,,0,0,0,1,0,,
,376,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,1
,377,,,,,,0,1,,,,,,,,,,,,,,,
,378,,,,,,0,1,,,,,,,,,,,,,,,
STRD Imm - PRE,379,,1,,1,,,,0,0,0,1,1,0,1,,0,0,0,1,0,,
,380,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,1
,381,,,,,,0,1,,,,,,,,,,,,,,,
,382,,,,,,0,1,,,,,,,,,,,,,,,
STRD R - PRE,383,,1,,1,,,,0,0,0,0,1,0,1,,0,0,0,1,0,,
,384,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,1
,385,,,,,,0,1,,,,,,,,,,,,,,,
,386,,,,,,0,1,,,,,,,,,,,,,,,
STRD Imm - POS,387,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,388,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,1
,389,,1,,,,0,1,,,,,1,0,1,,0,0,0,1,0,,
,390,,,,,,0,1,,,,,,,,,,,,,,,
STRD R - POS,391,,,,1,,,,0,0,0,0,,,1,,1,0,0,0,0,,
,392,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,1
,393,,1,,,,0,1,,,,,1,0,1,,0,0,0,1,0,,
,394,,,,,,0,1,,,,,,,,,,,,,,,
,Instrucciones Branch y Exception,,,,,,,,,,,,,,,,,,,,,,
LDMIA / LDMFD,395,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,396,,1,,,,1,1,0,0,,,1,0,1,,1,0,0,0,1,,
,397,,,,,1,1,1,,,,,,,,0,,,,,,1,0
,398,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDMIB / LDMED,398,,1,,1,,,,0,0,0,1,1,0,1,,1,0,0,0,1,,
,399,,,,,,1,1,,,,,,,,,,,,,,,
,400,,,,,1,1,1,,,,,,,,0,,,,,,1,0
,401,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDMIDA / LDMFA,401,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,402,,1,,,,1,1,0,0,,,1,0,1,,1,0,0,1,1,,
,403,,,,,1,1,1,,,,,,,,0,,,,,,1,0
,404,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDMDB / LDMEA,405,,1,,1,,,,0,0,0,1,1,0,1,,1,0,0,1,1,,
,406,,,,,,1,1,,,,,,,,,,,,,,,
,407,,,,,1,1,1,,,,,,,,0,,,,,,1,0
,408,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
STMIA / STMEA,409,,,,1,,,,0,0,0,0,,,1,,1,0,0,0,0,,
,410,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,0
,411,,1,,,,0,1,,,,,1,0,,,1,0,0,0,1,,
,412,,,,,,0,1,,,,,,,,,,,,,,,
STMIB / STMFA,413,,1,,1,,,,0,0,0,0,1,0,1,,1,0,0,0,1,,
,414,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,0
,415,,,,,,0,1,,,,,,,,,,,,,,,
,416,,,,,,0,1,,,,,,,,,,,,,,,
STMDA / STMED,417,,,,1,,,,0,0,0,0,,,1,,1,0,0,0,0,,
,418,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,0
,419,,1,,,,0,1,,,,,1,0,,,1,0,0,1,1,,
,420,,,,,,0,1,,,,,,,,,,,,,,,
STMDB / STMFD,421,,1,,1,,,,0,0,0,0,1,0,1,,1,0,0,1,1,,
,422,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,0
,423,,,,,,0,1,,,,,,,,,,,,,,,
,424,,,,,,0,1,,,,,,,,,,,,,,,
LDMIA / LDMFD W,424,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,425,,1,,,,1,1,0,0,,,1,0,1,,1,0,0,0,1,,
,426,,,,,1,1,1,,,,,,,,0,,,,,,1,0
,427,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDMIB / LDMED W,427,,1,,1,,,,0,0,0,1,1,0,1,,1,0,0,0,1,,
,428,,,,,,1,1,,,,,,,,,,,,,,,
,429,,,,,1,1,1,,,,,,,,0,,,,,,1,0
,430,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDMIDA / LDMFA W,430,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,431,,1,,,,1,1,0,0,,,1,0,1,,1,0,0,1,1,,
,432,,,,,1,1,1,,,,,,,,0,,,,,,1,0
,433,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDMDB / LDMEA W,434,,1,,1,,,,0,0,0,1,1,0,1,,1,0,0,1,1,,
,435,,,,,,1,1,,,,,,,,,,,,,,,
,436,,,,,1,1,1,,,,,,,,0,,,,,,1,0
,437,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
STMIA / STMEA W,438,,,,1,,,,0,0,0,0,,,1,,1,0,0,0,0,,
,439,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,0
,440,,1,,,,0,1,,,,,1,0,,,1,0,0,0,1,,
,441,,,,,,0,1,,,,,,,,,,,,,,,
STMIB / STMFA W,442,,1,,1,,,,0,0,0,0,1,0,1,,1,0,0,0,1,,
,443,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,0
,444,,,,,,0,1,,,,,,,,,,,,,,,
,445,,,,,,0,1,,,,,,,,,,,,,,,
STMDA / STMED W,446,,,,1,,,,0,0,0,0,,,1,,1,0,0,0,0,,
,447,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,0
,448,,1,,,,0,1,,,,,1,0,,,1,0,0,1,1,,
,449,,,,,,0,1,,,,,,,,,,,,,,,
STMDB / STMFD W,450,,1,,1,,,,0,0,0,0,1,0,1,,1,0,0,1,1,,
,451,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,0
,452,,,,,,0,1,,,,,,,,,,,,,,,
,453,,,,,,0,1,,,,,,,,,,,,,,,
,,Instrucciones Branch y Exception,,,,,,,,,,,,,,,,,,,,,
B,454,,1,,,,,,1,0,0,0,1,1,1,,1,0,0,1,0,,
BL,455,,1,,,,,,1,0,0,1,1,1,1,,1,0,0,1,0,,
